    0.4645319167E+00    0.2159842075E+01    0.4300674431E+00    0.3322605314E+00    0.8360202137E+00   -0.3056742356E+00
    0.4649766576E+00    0.2157747991E+01    0.4305545197E+00    0.3327036229E+00    0.8361028367E+00   -0.3054418575E+00
    0.4654213984E+00    0.2155658054E+01    0.4310416601E+00    0.3331470247E+00    0.8361858127E+00   -0.3052094561E+00
    0.4658661393E+00    0.2153572249E+01    0.4315288595E+00    0.3335907370E+00    0.8362691502E+00   -0.3049770312E+00
    0.4663108801E+00    0.2151490559E+01    0.4320161229E+00    0.3340347587E+00    0.8363528408E+00   -0.3047445831E+00
    0.4667556209E+00    0.2149412981E+01    0.4325034476E+00    0.3344790891E+00    0.8364368802E+00   -0.3045121116E+00
    0.4672003618E+00    0.2147339498E+01    0.4329908339E+00    0.3349237272E+00    0.8365212642E+00   -0.3042796167E+00
    0.4676451035E+00    0.2145270095E+01    0.4334782792E+00    0.3353686732E+00    0.8366059971E+00   -0.3040470985E+00
    0.4680898443E+00    0.2143204761E+01    0.4339657836E+00    0.3358139260E+00    0.8366910704E+00   -0.3038145546E+00
    0.4685345852E+00    0.2141143485E+01    0.4344533471E+00    0.3362594848E+00    0.8367764842E+00   -0.3035819897E+00
    0.4689793260E+00    0.2139086254E+01    0.4349409721E+00    0.3367053488E+00    0.8368622343E+00   -0.3033493991E+00
    0.4694240669E+00    0.2137033055E+01    0.4354286538E+00    0.3371515179E+00    0.8369483205E+00   -0.3031167874E+00
    0.4698688077E+00    0.2134983874E+01    0.4359163946E+00    0.3375979913E+00    0.8370347346E+00   -0.3028841501E+00
    0.4703135485E+00    0.2132938700E+01    0.4364041922E+00    0.3380447690E+00    0.8371214808E+00   -0.3026514871E+00
    0.4707582894E+00    0.2130897527E+01    0.4368920464E+00    0.3384918483E+00    0.8372085506E+00   -0.3024188031E+00
    0.4712030311E+00    0.2128860331E+01    0.4373799598E+00    0.3389392302E+00    0.8372959482E+00   -0.3021860911E+00
    0.4716477719E+00    0.2126827110E+01    0.4378679275E+00    0.3393869146E+00    0.8373836652E+00   -0.3019533580E+00
    0.4720925128E+00    0.2124797845E+01    0.4383559520E+00    0.3398348989E+00    0.8374716975E+00   -0.3017205993E+00
    0.4725372536E+00    0.2122772530E+01    0.4388440332E+00    0.3402831840E+00    0.8375600492E+00   -0.3014878172E+00
    0.4729819945E+00    0.2120751149E+01    0.4393321688E+00    0.3407317691E+00    0.8376487161E+00   -0.3012550094E+00
    0.4734267353E+00    0.2118733692E+01    0.4398203587E+00    0.3411806532E+00    0.8377376940E+00   -0.3010221759E+00
    0.4738714761E+00    0.2116720143E+01    0.4403086030E+00    0.3416298363E+00    0.8378269788E+00   -0.3007893191E+00
    0.4743162170E+00    0.2114710498E+01    0.4407969016E+00    0.3420793167E+00    0.8379165746E+00   -0.3005564366E+00
    0.4747609587E+00    0.2112704740E+01    0.4412852523E+00    0.3425290945E+00    0.8380064730E+00   -0.3003235307E+00
    0.4752056995E+00    0.2110702854E+01    0.4417736574E+00    0.3429791695E+00    0.8380966698E+00   -0.3000905968E+00
    0.4756504404E+00    0.2108704836E+01    0.4422621144E+00    0.3434295401E+00    0.8381871693E+00   -0.2998576396E+00
